"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Chinese","2016","Number","687"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Indian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Indian","2016","Number","1194"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Iranian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Iranian","2016","Number","288"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Iraqi","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Iraqi","2016","Number","506"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Japanese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Japanese","2016","Number","261"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Malaysian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Malaysian","2016","Number","371"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Pakistani","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Pakistani","2016","Number","2769"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Filipino","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Filipino","2016","Number","3499"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Thai","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Thai","2016","Number","820"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Vietnamese","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Vietnamese","2016","Number","487"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other Asian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other Asian","2016","Number","1410"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Brazilian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Brazilian","2016","Number","1270"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Canadian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Canadian","2016","Number","2984"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Mexican","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Mexican","2016","Number","256"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other American","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other American","2016","Number","734"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Australian","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Australian","2016","Number","5533"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-New Zealander","2011","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-New Zealander","2016","Number","895"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other European","2011","Number","999"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other European","2016","Number","1046"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other African","2011","Number","2938"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other African","2016","Number","1983"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other Asian","2011","Number","1966"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other Asian","2016","Number","1494"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other American","2011","Number","1029"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other American","2016","Number","1032"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other nationalities","2011","Number","4098"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Other nationalities","2016","Number","2886"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Kosovan","2011","Number","392"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Kosovan","2016","Number","226"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","All nationalities","2011","Number","4525281"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","All nationalities","2016","Number","4689921"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Irish","2011","Number","628493"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Irish","2016","Number","645595"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Irish-American","2011","Number","3079"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Irish-American","2016","Number","3698"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Irish-Other","2011","Number","3186"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Irish-Other","2016","Number","336"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","UK","2011","Number","18137"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","UK","2016","Number","16550"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Austrian","2011","Number","129"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Austrian","2016","Number","136"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Belgian","2011","Number","201"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Belgian","2016","Number","263"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Danish","2011","Number","187"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Danish","2016","Number","188"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","A. Employers and managers","Finnish","2011","Number","174"
